date,article_id,source
2018-08-10 05:23:37,1808.03413v1,arXiv
2018-08-15 00:20:35,1808.04929v1,arXiv
2018-08-20 09:06:21,1808.06352v1,arXiv
2018-08-21 04:04:20,1808.06753v1,arXiv
2018-08-21 09:49:51,1808.06820v1,arXiv
2018-08-28 10:29:20,1808.09208v1,arXiv
2018-09-02 19:05:26,1809.00375v2,arXiv
2018-09-04 13:52:13,1809.00966v1,arXiv
2018-09-14 16:52:06,1809.05500v1,arXiv
2018-09-15 22:54:05,1809.05780v1,arXiv
2018-09-16 08:43:32,1809.05837v1,arXiv
2018-09-16 22:23:04,1809.05970v1,arXiv
2018-09-17 16:48:28,1809.06320v1,arXiv
2018-09-17 19:57:06,1809.06417v1,arXiv
2018-09-20 12:33:30,1809.07593v1,arXiv
2018-09-21 14:10:55,1809.08134v1,arXiv
2018-09-23 12:22:11,1809.08585v1,arXiv
2018-09-23 16:36:23,1809.08627v1,arXiv
2018-10-03 02:04:15,1810.01564v1,arXiv
2018-10-03 19:43:12,1810.01930v1,arXiv
